product_category_name,product_category_name_english
agro_industria_e_comercio,Agribusiness & Commerce
alimentos,Food
alimentos_bebidas,Food & Beverages
artes,Arts
artes_e_artesanato,Arts & Crafts
artigos_de_festas,Party Supplies
artigos_de_natal,Christmas Items
audio,Audio
automotivo,Automotive
bebes,Babies
bebidas,Beverages
beleza_saude,Health & Beauty
brinquedos,Toys
cama_mesa_banho,Bed Bath & Table
casa_conforto,Home Comfort
casa_conforto_2,Home Comfort 2
casa_construcao,Home Construction
cine_foto,Photography & Film
climatizacao,Climate Control
computers,Computers
construcao_ferramentas_construcao,Construction Tools
construcao_ferramentas_ferramentas,Hand Tools
construcao_ferramentas_iluminacao,Lighting & Electrical
construcao_ferramentas_jardim,Garden Tools
construcao_ferramentas_seguranca,Safety Equipment
cool_stuff,Cool Stuff
dvds_blu_ray,DVDs & Blu-ray
eletrodomesticos,Appliances
eletrodomesticos_2,Small Appliances
eletronicos,Electronics
esporte_lazer,Sports & Leisure
fashion_bolsas_e_acessorios,Bags & Accessories
fashion_calcados,Footwear
fashion_esporte,Sports Fashion
fashion_roupa_feminina,Women's Clothing
fashion_roupa_infanto_juvenil,Children's Clothing
fashion_roupa_masculina,Men's Clothing
fashion_underwear_e_moda_praia,Underwear & Swimwear
ferramentas_jardim,Tools & Garden
flores,Flowers
fraldas_higiene,Diapers & Hygiene
industria_comercio_e_negocios,Industry & Commerce
informatica_acessorios,Computers & Accessories
instrumentos_musicais,Musical Instruments
joias_relogios,Jewelry & Watches
la_cuisine,Kitchen & Cooking
livros_importados,Imported Books
livros_interesse_geral,General Books
livros_tecnicos,Technical Books
malas_acessorios,Luggage & Accessories
moveis_colchao_e_estofado,Mattresses & Upholstery
moveis_cozinha_area_de_servico_jantar_e_jardim,Kitchen & Dining Furniture
moveis_decoracao,Home Decor & Furniture
moveis_escritorio,Office Furniture
musica,Music
papelaria,Stationery
pc_gamer,Gaming PCs
pcs,PCs
perfumaria,Perfumery & Cosmetics
pet_shop,Pet Shop
portateis_casa_forno_e_cafe,Small Kitchen Appliances
portateis_cozinha_e_preparadores_de_alimentos,Food Processors & Blenders
relogios_presentes,Watches & Gifts
seguros_e_servicos,Insurance & Services
sinalizacao_e_seguranca,Signaling & Security
tablets_impressao_imagem,Tablets & Imaging
telefonia,Phones
telefonia_fixa,Landline Phones
utilidades_domesticas,Household Utilities
